iter	Passed	Remaining
732	1476	537
733	1478	535
734	1480	533
735	1482	531
736	1484	529
737	1485	527
738	1487	525
739	1489	523
740	1491	521
741	1493	519
742	1495	517
743	1497	515
744	1499	513
745	1501	511
746	1503	509
747	1505	507
748	1507	505
749	1509	503
750	1511	501
751	1513	499
752	1515	497
753	1517	494
754	1519	492
755	1520	490
756	1522	488
757	1524	486
758	1526	484
759	1528	482
760	1530	480
761	1532	478
762	1534	476
763	1536	474
764	1538	472
765	1539	470
766	1541	468
767	1543	466
768	1545	464
769	1547	462
770	1548	460
771	1550	458
772	1552	455
773	1554	453
774	1555	451
775	1557	449
776	1559	447
777	1560	445
778	1562	443
779	1564	441
780	1565	439
781	1567	436
782	1569	434
783	1571	432
784	1572	430
785	1574	428
786	1576	426
787	1578	424
788	1579	422
789	1581	420
790	1583	418
791	1585	416
792	1587	414
793	1589	412
794	1591	410
795	1593	408
796	1594	406
797	1596	404
798	1598	402
799	1600	400
800	1602	398
801	1603	395
802	1605	393
803	1607	391
804	1609	389
805	1611	387
806	1612	385
807	1614	383
808	1617	381
809	1619	379
810	1620	377
811	1622	375
812	1624	373
813	1626	371
814	1627	369
815	1629	367
816	1631	365
817	1633	363
818	1634	361
819	1636	359
820	1638	357
821	1640	355
822	1641	353
823	1643	351
824	1645	349
825	1647	347
826	1649	345
827	1651	342
828	1652	340
829	1654	338
830	1655	336
831	1657	334
832	1659	332
833	1661	330
834	1663	328
835	1665	326
836	1667	324
837	1668	322
838	1670	320
839	1672	318
840	1674	316
841	1675	314
842	1677	312
843	1679	310
844	1681	308
845	1682	306
846	1684	304
847	1686	302
848	1688	300
849	1689	298
850	1691	296
851	1693	294
852	1695	292
853	1697	290
854	1699	288
855	1700	286
856	1702	284
857	1704	282
858	1705	280
859	1707	278
860	1709	275
861	1711	273
862	1712	271
863	1714	269
864	1716	267
865	1717	265
866	1719	263
867	1721	261
868	1722	259
869	1724	257
870	1726	255
871	1728	253
872	1730	251
873	1731	249
874	1733	247
875	1735	245
876	1737	243
877	1739	241
878	1741	239
879	1743	237
880	1745	235
881	1747	233
882	1748	231
883	1750	229
884	1752	227
885	1755	225
886	1756	223
887	1758	221
888	1760	219
889	1761	217
890	1763	215
891	1765	213
892	1767	211
893	1769	209
894	1771	207
895	1773	205
896	1774	203
897	1776	201
898	1777	199
899	1779	197
900	1781	195
901	1783	193
902	1785	191
903	1786	189
904	1788	187
905	1790	185
906	1792	183
907	1794	181
908	1796	179
909	1797	177
910	1799	175
911	1801	173
912	1802	171
913	1804	169
914	1806	167
915	1808	165
916	1810	163
917	1811	161
918	1813	159
919	1815	157
920	1817	155
921	1819	153
922	1821	151
923	1822	149
924	1824	147
925	1826	145
926	1827	143
927	1829	141
928	1831	139
929	1833	138
930	1835	136
931	1837	134
932	1838	132
933	1840	130
934	1842	128
935	1844	126
936	1846	124
937	1847	122
938	1849	120
939	1851	118
940	1853	116
941	1854	114
942	1856	112
943	1858	110
944	1859	108
945	1861	106
946	1863	104
947	1865	102
948	1866	100
949	1868	98
950	1870	96
951	1872	94
952	1873	92
953	1875	90
954	1877	88
955	1880	86
956	1882	84
957	1884	82
958	1886	80
959	1888	78
960	1889	76
961	1891	74
962	1893	72
963	1895	70
964	1896	68
965	1898	66
966	1900	64
967	1901	62
968	1903	60
969	1905	58
970	1907	56
971	1908	54
972	1910	53
973	1912	51
974	1914	49
975	1915	47
976	1917	45
977	1919	43
978	1921	41
979	1923	39
980	1924	37
981	1926	35
982	1928	33
983	1929	31
984	1931	29
985	1933	27
986	1935	25
987	1937	23
988	1940	21
989	1942	19
990	1943	17
991	1945	15
992	1947	13
993	1948	11
994	1950	9
995	1952	7
996	1954	5
997	1955	3
998	1957	1
999	1959	0
